1| ASTRA                | ASTRA S.A INDUSTRIA E COMERCIO                | CORREIA                                                      |50949528001070| 407.185.445.16  | (11)4527-6688              | O MESMO         | AV.MARGINAL VIA ANHANGUERA S/N KM62           |0|                       | JUNDIAI              |3525904| JUNDIAI              | SP |13211090| ASTRA@ASTRA-SA.COM.BR          |                 |      
17| GUERREIRO            | COM.ELETRICA GUERREIRO LTDA                   |                                                              |10323669000178|78607181| (21)2713-1400              | O MESMO         | RUA RAUL LENGRUBER,64                         |0|                       | MUTUA                |3304904| SAO GONCALO          | RJ |24460410|                                | BRASIL          |1111
18| ARGALAGOS            | ARGALAGOS INDUSTRIA E COM.DE ARGAMASSAS LTDA  |                                                              |11868489000134|79034851|                            |                 | ROD.AMARAL PEIXOTO,S/N KM75 LT2603 QD03       |0| JARDIM IPITANGAS      | SAQUAREMA            |2899300|0| RJ |28993000|                                |                 |      
19| DANCOR               | DANCOR S.A INDUSTRIA MECANICA                 | ANDERSOM 21 9480 9800                                        |33561853000151|81958254|2134089292|                 | AVENIDA BRASIL N.49259                        |0|                       | CAMPO GRANDE         |2307800|2| RJ |23078002|                                |                 |      
20| BELIZE               | CERAMICA MONTE CARLO S.A                      | MARCO 8185-9880/9536-4034/7835-6739                          |220175500180|24103039|                            |                 | ROD.NORTE KM01,CABO SANTO AGOSTINHO           |0|                       | SUAPE-PERNAMBUCO     |5459000|0| PE |54590000|                                |                 |      
21| FORTLEV              | FORTLEV TORRES.CIA LTDA                       |                                                              |31751050000134|81259441| 027-2121-6700/2121-6700    |                 | RUA 07,N120 SETOR 2                           |0|                       | SERRA-ESPIRITO SANTO |1000000|0| ES |10000000|                                |                 |      
22| BESSER               | METALURGICA BESSER LTDA                       |                                                              |68654938000169|84655708| 022-2522-9838              |                 | AV.PRESIDENTE COSTA E SILVA,685-A-            |0|                       | CENTRO-NOVA FRIBURGO |2863000|0| RJ |28630000| MET-BESSER@UOL.COM.BR          |                 |      
23| CONDOR               | CONDOR PINCEIS LTDA                           |                                                              |9217430000134|255571950| 047-3631-2000/0800476767   |                 | RUA BARAO DO RIO BRANCO,S/N CENTRO            |0|                       | SAO BENTO DO SUL     |8928047|8| SC |89280478|                                |                 |      
24| PLASTUBOS            | PLASTUBOS LTDA                                |                                                              |1230897000102|5460459480080| 031-2125-9555              |                 | RUA BELA VISTA,N213-RIBEIRAO DAS NEVES        |0|                       | BOTAFOGO-MG          |3393319|0| MG |33933190|                                |                 |      
25| CASALITE IND E COM D | CASALITE IND E COM DE MATERIAIS DE CONSTRUCAO | CARLOS CASALIT                                               |27895762000150|82500189|2126775000|                 | AV MASCARENHAS DE MORAES                      |521|                       | CAMPOS ELISEOS       |3301702| DUQUE DE CAXIAS      | RJ |25230030| FINANCEIRO 21 2491-0811        | Brasil          |1058
26| AMANCO               | AMANCO BRASIL LTDA                            | AILTON 21 8283-3796 ALEXANDRE BESSA 21 7747-0047 126*55358   |58514928003351|671084071112| 047-3461-7000              | 047-3461-7087   | AV.DA AMIZADE,N1700                           |0|                       | VILA CARLOTA-SUMARE  |1317549|0| SP |13175490|                                |                 |      
27| ATLAS                | PINCEIS ATLAS S/A                             | MARQUES 7843-6259                                            |89723837000849|373096970118| 011-2135-5114              | 011-2135-5113   | RUA NOVA SAO PAULO,N511 ITAQUI                |0|                       | ITAPEVI-SP           |669028|0| SP |6690280|                                | BRASIL          |1111
28| GENOVA               | GENOVA IND.E COM.DE MOVEIS LTDA               | JARBAS 021 9979-9095 021 3343-3579                           |9812915000176|214179560110| 018-3642-7191              |                 | EST.MUNICIPAL BIRIGUI,250-71 ALTO COLINAS     |0|                       | BIRIGUI-SP           |1620704|0| SP |16207040| genova-faturamento@bol.com.br  |                 |      
29| SBA                  | SBA PECAS ACABADAS DE ALUMINIO LTDA           |                                                              |17464140000113|3673716680029| 032-4009-5666              |                 | AV.DR.SIMEAO DE FARIA,71-JUIZ DE FORA         |0|                       | SANTA CRUZ           |3608745|0| MG |36087450|                                |                 |      
30| GIFAX                | GIFAX-COMERCIO E REPRESENTACOES LTDA          | 9379-8541                                                    |33818147000142|346605500| 2509-7828/2224-8785        | 2509-7828       | RUA BUENOS AIRES,228-08ANDAR                  |0|                       | CENTRO-RIO           |2006100|0| RJ |20061000| gifax@representacoes.net       |                 |      
31| PORCELANATOS         | EXCLUSIVE                                     | MONTEIRO                                                     |0|                 | 23*2987 MONTEIRO           |                 | RECREIO DOS BANDEIRANTES                      |0|                       | RECREIO              |3301702| DUQUE DE CAXIAS      | RJ |25000000|                                |                 |      
32| VOTORANTIM           | VOTORANTIM                                    | LARISSA 9918 0490                                            |0|                 | 0800 701 9898              |                 |0|0|                       |0|3301702| DUQUE DE CAXIAS      | RJ |25000000|                                |                 |      
34| Saint-Gobain do Bras | Saint-Gobain do Brasil Produtos Ind ustriais  | ALEX 7756-8163 963*1579 9986-6035                            |61064838003663|78498684|2121236800| 021 2663 1515   | RUA E                                         | SN     | LT 12 E 13            | DISTRITO INDUSTRIAL  |3304144| QUEIMADOS            | RJ |26373280|                                | Brasil          |1058
35| MINASCAL             | MINASCAL INDUSTRIA E COMERCIO DE CAL LTDA     |                                                              |2755969000106|77339353| 021 2418 1088              |                 | AV JOAO XXIII S/N                             |0|                       | ZN IND SANTA CRUZ    |3304557| RJO DE JANEIRO       | RJ |23570000|                                |                 |      
36| FORMIGRES            | CERAMICA FORMIGRES LTDA                       | CARLOS ALBERTO 9458 7359 / 7872 0004 / ID 88*16332           |1325023000138|615,008,017,110| 011 3545 8800              | 019 3545 8880   | RODOVIA WOSHINGTON LUIZ KM164                 |164|                       | SANTA GERTRUDES      |1111111| SAO PAULO            | SP |13510000| www.formigres.com.br           |                 |      
37| MASTERSOFT           | MASTERSOFT ASSESSORIA E CONSULTORIA LTDA      |                                                              |0|                 | 021 9263 5715 RD 10*15800  |                 | RUA DO OUVIDOR 130 SALA 717 CENTRO            |0|                       | CENTRO               |3301702| DUQUE DE CAXIAS      | RJ |25000000|                                |                 |      
38| CASA CARDAO          | CASA CARDAO LTDA                              |0|32287542000183|80825943| 024 2244 4800              |                 | AVENIDA AMARAL PEIXOTO                        |910| AFONSO ARINOS         | COMENDADOR LEVY GASP |3304557| RIO DE JANEIRO       | RJ |25875000|                                |                 |      
39| ESCADAS              | ESCADAS                                       |                                                              |0|                 |                            |                 | RUA                                           |0|                       | MM                   |3301702| DUQUE DE CAXIAS      | RJ |25000000|                                |                 |      
40| MANCHESTER           | MANCHESTER                                    |                                                              |0|                 | 21 9648-2506 7855-8250     |                 | R                                             |0|                       | R                    |3301702| DUQUE DE CAXIAS      | RJ |25000000|                                | BRASIL          |1111
41| CIMENTO CSN          | CSN CIMENTOS S/A                              | 11 4932-1623 11 4932-1636 FINANCEIRO BRENO FACCHINETTI       |0|                 |8002828200|                 | RUA SANTA VITORIA                             |0| GALPAO                | QUEIMADOS            |3304144| QUEIMADOS            | RJ |26330290|                                | BRASIL          |1111
42| CIMENTO TUPI         | CIMENTO TUPI                                  | WALDIR 021 9946 1991                                         |0|                 | 21 2277-2000 / SERGIO BATI | BATISTA         | R                                             |0|                       | R                    |3300100| ANGRA DOS REIS       | RJ |25000000|                                | BRASIL          |1111
43| TAPETES GIGRAM       | TAPETES GIGRAM                                |                                                              |0|                 |                            |                 | R                                             |0|                       | R                    |3304557| RIO DE JANEIRO       | RJ |20000000|                                |                 |      
44| STARTEC              | STARTEC                                       |                                                              |0|                 |                            |                 | R                                             |0|                       | R                    |3304557| RIO DE JANEIRO       | RJ |20000000|                                |                 |      
45| CASA MARTINS         | CASA MARTINS                                  |                                                              |0|                 |                            |                 | R                                             |0|                       | R                    |3301702| DUQUE DE CAXIAS      | RJ |20000000|                                | BRASIL          |1058
46| PRAT KA              | PRAT KA                                       |                                                              |6237807000129|560065353| 054 3295 9500              |                 | RS 115 KM 37 3990                             |0|                       | VARZEA GRANDE        |4309100| GRAMADO              | RS |95670000|                                |                 |      
47| PAREDEX              | GLOPES COM.E REPRES. TINTAS LTDA              |                                                              |856227000303|78035773| 021 2405 0045              | 021 2405 0045   | AV BRASIL 34487                               |0|                       | BANGU                |3301702| DUQUE DE CAXIAS      | RJ |21852000|                                |                 |      
48| PETROPOLITANA        | PETROPOLITANA INDUSTRIA E COM. DE LUSTRE LTDA | ELTON 024 2223 2192  024 2223 1160                           |31050685000104|83299614| 024 2223 2192              | 024 2223 2192   | ESTRADA UNIAO INDUSTRIA                       |20815|                       | PEDRA DO RIO         |3303906| PETROPOLIS           | RJ |25750220| petropolitanaelton@hotmail.com |                 |      
49| METALOSA             | METALOSA INDUSTRIA METALURGICA S.A            | SOLANGE 021 7850-4761                                        |27485374001890|80081908| 027 2102 1300              |                 | RODOVIA CAFE                                  |1625|                       | SAO SILVANO          |3201506| COLATINA             | ES |29705200|                                |                 |      
50| ISDRALIT             | ISDRALIT INDUSTRIA E COMERCIO LTDA            |                                                              |89938500000930|482006359119| 019 3202 8000              |                 | VIA ANHAGUERA KM 115                          |0|                       | ZONA RURAL           |3533403| NOVA ODESSA          | SP |13460000|                                |                 |      
51| RAMAR CAXIAS         | RAMAR DE CAXIAS COM.VAREGISTA DE AUTO PE€AS   |                                                              |8617105000104|78240890|                            |                 | ROD.WASHINGHTON LUIZ 5525 LT 34 QD 89         |0|                       | GRAMACHO             |3301702| DUQUE DE CAXIAS      | RJ |25000000|                                |                 |      
52| HIDRACOR             | TINTAS HIDRACOR S/A                           | PESTANA (ESCRITORIO) 021 2485 3190                           |4706416000180|6822969| 085 4005 4200              |                 | AV MENDEL ATEINBRUCH ,S/N,KM 06,6             |0|                       | MARACANAU            |2307650| MARACANAU            | CE |61939210|                                |                 |      
53| CERAMICA CAMPOS      | CERAMICA CAMPOS                               | JULIO 9972-0007                                              |0|                 | 22 2741-9813               |                 | CAMPOS                                        |0|                       | CAMPOS               |3301009| CAMPOS DOS GOYTACAZE | RJ |25000000|                                |                 |      
54| AREOLA               | AREOLA                                        |                                                              |0|                 |                            |                 | R                                             |0|                       | R                    |3301702| DUQUE DE CAXIAS      | RJ |25000000|                                |                 |      
55| BLOCO DE VIDRO       | B                                             |                                                              |0|                 |                            |                 | R                                             |0|                       | R                    |3301702| DUQUE DE CAXIAS      | RJ |25000000|                                |                 |      
56| TINTAS STAR          | TINTA STAR                                    |                                                              |0|                 |                            |                 | R                                             |0|                       | R                    |3301702| DUQUE DE CAXIAS      | RJ |25000000|                                |                 |      
57| EMBRATEL             | EMPRESA BRASILEIRA DE TELECOMUNICA€AO S/A     |                                                              |33530486000129|                 |                            |                 | CAIXA POSTAL N 2586                           |0|                       | RIO DE JANEIRO       |3304557| RIO DE JANEIRO       | RJ |20010974|                                |                 |      
58| LEOLAC/KSUN          | KSUM TINTAS(LEOLAC)                           |                                                              |5296297000106|                 |                            |                 | ESTRADA VELHA DO PILAR  N 2219                |0|                       | CAPIVARI             |3301702| DUQUE DE CAXIAS      | RJ |25000000|                                |                 |      
60| CAIXONETES           | CAIXONETE                                     |                                                              |0|                 |                            |                 | R                                             |0|                       | R                    |3301702| DUQUE DE CAXIAS      | RJ |25000000|                                |                 |      
61| CERAMICA MARAJO      | CERAMICA MARAJO LTDA                          |                                                              |0|                 |                            |                 | RODOVIA BR 101 S/N KM 277                     |0|                       | PINHAO               |3301702| DUQUE DE CAXIAS      | RJ |24890000|                                | BRASIL          |1111
62| CORAL                | GLOPES COM. E REPRES. TINTAS LTDA             | BOLETOS 021 2702-6300 CATIA                                  |856227000343|78035773| 021 2405 0045              |                 | AV.BRASIL                                     |34487|                       | BANGU                |3304557| RIO DE JANEIRO       | RJ |21851000|                                |                 |      
63| PEDREIRA S.S.        | PEDREIRA SAO SEBASTIAO LTDA                   | FABIO 21 7832 5160                                           |32289829000142|                 | 24 2251 6161 (FINANCEIRO)  |                 | RUA SEBASTIAO FERREIRA DE ALMEIDA             |458|                       | VILA ISABEL          |3306008| TRES RIOS            | RJ |25815220| 24 2251-6161 DULCE HELENA      | BRASIL          |1111
64| EDALTO REPRES.       | EDALTO COMERCIO E REPRESENTA€OES LTDA         | ANTONIO 98*23630                                             |36099042000179|83973145| 021 2501 0881              |                 | R CABU€U                                      |63|                       | LINS DE VASCONSELOS  |3304557| RIO DE JANEIRO       | RJ |20710300|                                |                 |      
65| CIMENTO MAUA         | LAFARGE BRASIL S.A. DEP N.IGUA€U              |                                                              |61403127013681|78680415|21|                 | AVENIDA ABILIO AUGUSTO TAVORA                 |3769|                       | JARDIM ALVORADA      |3303500| NOVA IGUACU          | RJ |25265090|                                |                 |      
66| OI FIXO              | TELEMAR NORTE LESTE                           |                                                              |33000118000179|                 |                            |                 |  GEN. POLIDORO 99                             |0|                       | RIO DE JANEIRO       |3301702| DUQUE DE CAXIAS      | RJ |25000000|                                |                 |      
67| FABRICA DE VASSOURA  | FABRICA DE VASSOURA E BAZAR SOBRINHO          |                                                              |0|                 | 021 2678 1457              |                 | RUA MARECHAL NEY LOTE 13 QUADRA 05            |0|                       | IMBARIE              |3301702| DUQUE DE CAXIAS      | RJ |25000000|                                |                 |      
68| GRUPO TMC DOMINGOS   | DOMINGOS                                      | 021 9986 9024                                                |0|                 | 021 3332 2422              |                 | R                                             |0|                       | NOVA                 |3304557| RIO DE JANEIRO       | RJ |25000000|                                |                 |      
69| GRUPO TMC ANDERSON   | ANDERSON GRUPO TMC                            |                                                              |0|                 | 021 2412-4528 (SALA)       | 021 3394 0808   | R                                             |0|                       | N                    |3304557| RIO DE JANEIRO       | RJ |25000000|                                |                 |      
70| MANTAC               | MANTAC INDUSTRIA E COMERCIO LTDA              |                                                              |3033392000183|25386131| 047 3466 0135              | 47 3466 1248    | RUA SANTA CATARINA                            |7222| JOINVILLE             | JOINVILLE            |4209102| JOINVILLE            | SC |89223001| contato@mantac.com.br          |                 |      
71| DN AUTOMO€AO         | DGT-RJ INFORMATICA LTDA                       |                                                              |73499642000150|84903396| 021 2107 0707              |                 | AVENIDA ROMA                                  |336|                       | BONSUCESSO           |3304557| RIO DE JANEIRO       | RJ |21041060|                                |                 |      
72| LUZAD                | LUZAD COM.DE MAT.DE CONSTRU€AO CIVIL LTDA     | ALEXANDRE                                                    |3300677000133|78874961| 021 3711 1694              |                 | RUA ANTONIO INACIO DE MATOS S/N L 12 Q100     |0|                       | VISTA ALEGRE         |3304904| SAO GONCALO          | RJ |24725225|                                |                 |      
73| COELHO               | COELHO E GON€ALO E FILHOS LTDA                |                                                              |36195139000185|840063118| 021 2786 9900              |                 | RUA ANTERO P.PEREIRA L 18/20 QD 52 S/N        |0| S/N                   | SAO JOAO DE MERITI   |3305109| SAO JOAO DE MERITI   | RJ |25555490|                                |                 |      
74| AMPLA ENERGIA        | AMPLA                                         |                                                              |33050071000158|80046561| 0800 28 00120              |                 | PRA€A LEONI RAMOS                             |0|                       | NITEROI              |3303302| NITEROI              | RJ |24210205|                                |                 |      
75| POLINOVA             | POLINOVA DESENV.DE MAT.POLIMERICOS            |                                                              |5975494000143|78394625| 021 3867 6702              |                 | RUA MARQUES DE OLIVEIRA                       |56| RAMOS                 | RIO DE JANEIRO       |3304557| RIO DE JANEIRO       | RJ |21031710| contato@polinova.com.br        |                 |      
76| CLAROFILITO          | CLAROFILITO SANTA CLARA LTDA                  |                                                              |6996544000131|85431862110070| 033 3314 1314              | 033 3314 1314   | ESTR.TAPARUBA MUTUM KM 3,20                   |0| ZONA RURAL            | TAPARUBA             |3168051| TAPARUBA             | MG |36953000|                                |                 |      
77| ALFA PARAFUSO        | ALFA PARAFUSO ABRASIVOS LTDA ME               |                                                              |5836385000145|77609326| 021 2772 2383              | 021 2772 2383   | RUA NOVA FRIBURGO                             |0| LOTE 23 QUADRA 13     | PARQUE ARARUNA       |3305109| SAO JOAO DE MERITI   | RJ |25585510|                                |                 |      
78| FABRIMAR             | FABRIMAR S.A.INDUSTRIA E COMERCIO             | JOSE CELIO 21 9455 4061 FINANCEIRO 21 3088-2253 ALEX MELLO   |33064262000179|82054480| 21 3088 2200               |                 | ROD.PRESIDENTE DUTRA                          |1362|2290| E R B SILVA PAVUNA   |3304557| RIO DE JANEIRO       | RJ |21535502|                                | BRASIL          |1111
79| FILITO PAVIONE       | IND.COM.MASSIOLITE PAVIONE LTDA-ME            | 33 3314 1077 ROBERT / 33 8414 3595 ALECIO                    |0|                 | 033 3314 1077 ROBERT       |                 | R ARSTANCIO RODRIGUES                         |330|                       | IPANEMA              |3131208| IPANEMA              | MG |20000000| (33)3314 1077/8425 2817 DANIEL |                 |      
80| PIANOX               | INOXSUL IND.COM. DE PRODUTOS INOXIDAVEIS      | ALEXON FERREIRA 21 9963-3519 98*53474                        |7456609000119|255002866| 047 3466 0353              |                 | R.FERNANDO NUNES S.A NR                       |340|340| JAVARITUBA           |4209102| JOINVILLE            | SC |89230200|                                | BRASIL          |1111
81| RAMADA               | FERRAGENS RAMADA LTDA                         |                                                              |30290688000152|82103856| 021 2472 4848              |                 | RUA PEDRO JORIO                               |365|                       | COELHO NETO          |3304557| RIO DE JANEIRO       | RJ |21530030|                                |                 |      
82| SERRARIA ALVINEGRA   | SERRARIA ALVINEGRA LTDA                       | JOAO 21 8194-9913 RADIO 81*13284 (DOF)                       |2889140000198|152067370| 091 3752 1854              |                 | ROD PA 150 KM 129 S/N                         |0| INDUSTRIAL            | TAILANDIA            |1507953| TAILANDIA            | PA |63695000|                                |                 |      
83| MARGIRIUS            | MARGIRIUS CONTINENTAL I.C.E. LTDA             |                                                              |61093001000112|55500632112| 0800 707 3262              | 011 3589 5000   | AV.VICENTE ZINI                               |665| VILA NOVA             | PORTO FERREIRA       |3540705| PORTO FERREIRA       | SP |13600000|                                |                 |      
84| FAMASTIL             | FAMASTILTAURUS FERRAMENTAS S.A.               | ADRIANA RABELLO 7811-4106 / 54 32959500 54 32862909          |90260985000691|560065450| 0800 701 1184              | 055 54 3295950  | RUA 1 DE MAIO                                 |1245| VARZEA GRANDE         | GRAMADO              |4309159| GRAMADO XAVIER       | RS |95670000| www.famastil.com.br            | BRASIL          |1058
85| PLASTICO HM          | INDUSTRIA E COM.DE PLASTICO HM MASTER LTDA ME |                                                              |4708994000156|77310673| 024 2471 2847              | 024 2471 2847   | RODOVIA RJ127 S/N                             |0| AREA 2 LOTE 4/5       | DISTRITO INDUSTRIAL  |3306206| VASSOURAS            | RJ |27700000|                                |                 |      
86| LUPERPLAS            | LUPERPLAS INDUSTRIA E COM. DE PLASTICO LTDA   | www.luperplas.com.br                                         |29898000120|637,113,728,111| 016 3363 8000              |                 | RUA ALEXANDRE PADAZZANI                       |375| JD NOVO HORIZONTE     | SAO CARLOS           |3548906| SAO CARLOS           | SP |13571512|                                |                 |      
87| MARMORARIA           | MARMORARIA ASCENSAO LTDA                      |                                                              |28100980000113|                 | 022 3831 1342              |                 | AV.TENENTE JOSE TEIXEIRA                      |351| CENTRO                | BOM JESUS ITABAPOANA |3300605| BOM JESUS ITABAPOANA | RJ |28360000|                                |                 |      
88| RM BR                | RM BR DIST E SERVI€OS LTDA ME                 |                                                              |0|                 |                            |                 | R                                             |0|                       | R                    |3300936| CARAPEBUS            | RJ |10000000|                                |                 |      
89| SBARDELI             | SBARDELI E CIA LTDA                           |                                                              |0|                 |                            |                 | R                                             |0|                       | R,                   |3300225| AREAL                | RJ |10000000|                                |                 |      
90| IPTU                 | IPTU IMPOSTO PREDIAL URBANO                   |                                                              |0|                 |                            |                 | R                                             |0|                       | R                    |3301702| DUQUE DE CAXIAS      | RJ |10000000|                                |                 |      
91| CARVIUNA             | CARVIUNA B PIRAI MOV IND COM                  |                                                              |0|                 |                            |                 | R                                             |0|                       | R                    |3300225| AREAL                | RJ |10000000|                                |                 |      
92| FUSARI               | FUSARI IND.&COM. LTDA                         | VEND. SRøRUIMAR FAX 021 2651 2968 CELULAR 9809 1130          |904101000197| 166950755/0093  | 037 3381 1342              |                 | RUA JOSE FERREIRA RODRIGUES                   |316| P.I. PAULINO PRADO    | CLAUDIO              |3116605| CLAUDIO              | MG |35530000|                                | BRASIL          |1111
93| MARFIM               | MARFIM COMERCIO E REPRESENTA€OES LTDA         | 021 8834 6804                                                |0|                 | 021 2657 1619              |                 | RUA CELSO PE€ANHA 16                          |16| PARQUE FLORA          | PARQUE FLORA         |3303500| NOVA IGUACU          | RJ |26040580| joaogilbertosilva@hotmail.com  |                 |      
94| GALDINO CONTADOR     | CONTADORA GALCONTI                            | GALDINO 021 8702 1882                                        |0|                 | 021 3666 2771 2778 8805    |                 | R                                             |0| TAQUARA               | TAQUARA              |3301702| DUQUE DE CAXIAS      | RJ |25000000|                                |                 |      
95| CLAVERY              | DISTRIBUIDORA LC CLAVERY DE M.CONSTRU€AO LTDA |                                                              |8374908000177|78407999| 024 2232 1540              |                 | ESTRADA UNIAO E INDUSTRIA                     |9096| ITAIPAVA              | PETROPOLIS           |2404903| ITAU                 | RJ |25730730| www.distribuidoraclavery.com.b |                 |      
96| DURIM                | ACESSORIOS E CONEXOES                         |                                                              |7128161000104|254917542| 0800 602 1110              |                 | RODOVIA SC 301                                |6500| KM37                  | ARAQUARI             |4201307| ARAQUARI             | SC |89245000|                                |                 |      
97| SOUZA E PINHO        | SOUZA E PINHO COMERCIO DE MADEIRAS            |                                                              |9625954000164|78516165| 021 7837 2907              |                 | RUA COELHO NETO                               |126| VILA SAO SEBASTIAO    | VILA SAO SEBASTIAO   |3301702| DUQUE DE CAXIAS      | RJ |25060570|                                |                 |      
98| MPS METAIS           | M                                             |                                                              |0|                 |                            |                 | R                                             |0|                       | R                    |3300936| CARAPEBUS            | RJ |25000000|                                |                 |      
99| NEXTEL               | N                                             |                                                              |0|                 |                            |                 | R                                             |0|                       | R                    |3301702| DUQUE DE CAXIAS      | RJ |10000000|                                |                 |      
100| RERTY                | RERTHY REVESTIMENTOS EM RELEVO LTDA           |                                                              |32593717000180|83889144| 021 2616 1815              |                 | RUA VEREADOR LUIZ PAULO GUIMARAES             |18|                       | RIO DO OURO          |3304904| SAO GONCALO          | RJ |24753600|                                |                 |      
101| TMC                  | NOVO OESTE DISTRIBUIDOR DE TELHAS LTDA        |                                                              |0|                 |                            |                 | R                                             |0|                       | R                    |3304557| RIO DE JANEIRO       | RJ |10000000|                                |                 |      
102| CONDUCEMA            | CONDUCEMA FIOS E CABOS LTDA                   | FABIANO REPRES. 21 2622-1168 RADIO 21 7896-6043 ID 55*45102  |5647278000179|116629224110|                            |                 | RUA ESTADO DE PERNAMBUCO                      |712| JD EGLE               | JARDIM EGLE          |3550308| SAO PAULO            | SP |3936020|                                |                 |      
